Barrio,GEOID,Barrio_Nombre,Localidad
1 DE MAYO,131,PRIMERO DE MAYO,SURORIENTE
20 DE JULIO,53,20 DE JULIO,METROPOLITANA
7 DE ABRIL,115,7 DE ABRIL,METROPOLITANA
7 DE AGOSTO,148,7 DE AGOSTO,SUROCCIDENTE
ABAJO,96,BARRIO ABAJO,NORTE - CENTRO HISTORICO
ADELITA DE CHAR,289,LA PLAYA,RIOMAR
ADELITA DE CHAR 1 ETAPA,289,LA PLAYA,RIOMAR
ALFONSO LOPEZ,24,ALFONSO LOPEZ,SUROCCIDENTE
ALTAMIRA,17,ALTAMIRA,RIOMAR
ALTOS DE LOS ROBLES VIP,267,ALTO DE LOS ROBLES,SOLEDAD
ALTOS DE RIOMAR,91,ALTOS DE RIOMAR,RIOMAR
ALTOS DEL LIMON,77,ALTOS DEL LIMON,RIOMAR
ALTOS DEL PRADO,116,ALTO PRADO,NORTE - CENTRO HISTORICO
AMERICA,4,AMERICA,NORTE - CENTRO HISTORICO
ANDALUCIA,31,ANDALUCIA,RIOMAR
ATLANTICO,16,ATLANTICO,SURORIENTE
BARLOVENTO,7,BARLOVENTO,NORTE - CENTRO HISTORICO
BARRANQUILLITA,114,VILLANUEVA,NORTE - CENTRO HISTORICO
BARRIO ARRIBA,111,REBOLO,SURORIENTE
BARRIO CENTRO(BUCARASICA),105,CENTRO,NORTE - CENTRO HISTORICO
BELLA ARENA,2,BELLA ARENA,SURORIENTE
BELLA MURILLO,225,BELLA MURILLO,SOLEDAD
BELLAVISTA,63,BELLAVISTA,NORTE - CENTRO HISTORICO
BENDICION DE DIOS,114,VILLANUEVA,NORTE - CENTRO HISTORICO
BETANIA,33,BETANIA,NORTE - CENTRO HISTORICO
BOLICHE,105,CENTRO,NORTE - CENTRO HISTORICO
BOSTON,97,BOSTON,NORTE - CENTRO HISTORICO
BOSTON C-10,97,BOSTON,NORTE - CENTRO HISTORICO
BOULEVARD DE SIMON,112,SIMON BOLIVAR,SURORIENTE
BOULEVARD DE SIMON BOLIVAR,112,SIMON BOLIVAR,SURORIENTE
BOYACA,27,BOYACA,SURORIENTE
BUENA ESPERANZA,44,BUENA ESPERANZA,SUROCCIDENTE
BUENAVISTA,177,BUENAVISTA,RIOMAR
BUENOS AIRES,54,BUENOS AIRES,METROPOLITANA
CALAMARY,156,KALAMARY,SUROCCIDENTE
CALIFORNIA,139,CALIFORNIA,SUROCCIDENTE
CAMPO ALEGRE,161,CAMPO ALEGRE,NORTE - CENTRO HISTORICO
CANDELARIA II,265,LA CANDELARIA II,SOLEDAD
CANGREJERA,289,LA PLAYA,RIOMAR
CARLOS MEISEL,34,CARLOS MEISEL,SUROCCIDENTE
CARRIZAL,109,CARRIZAL,METROPOLITANA
CENTRO,105,CENTRO,NORTE - CENTRO HISTORICO
CEVILLAR,52,CEVILLAR,METROPOLITANA
CHIQUINQUIRA,90,CHIQUINQUIRA,SURORIENTE
CISNEROS,203,EL PARQUE,SOLEDAD
CIUDAD CAMELOT,223,CIUDAD CAMELOT,SOLEDAD
CIUDAD JARDIN,160,CIUDAD JARDIN,NORTE - CENTRO HISTORICO
CIUDAD MODESTO,67,CIUDAD MODESTO,SUROCCIDENTE
CIUDADELA 20 DE JULIO,121,CIUDADELA 20 DE JULIO,METROPOLITANA
CIUDADELA METROPOLITANA,249,CIUDADELA METROPOLITANA,SOLEDAD
COLOMBIA,79,COLOMBIA,NORTE - CENTRO HISTORICO
CONIDEC,121,CIUDADELA 20 DE JULIO,METROPOLITANA
CORDIALIDAD,137,CORDIALIDAD,SUROCCIDENTE
COSTA HERMOSA,183,COSTA HERMOSA,SOLEDAD
CRUZ DE MAYO,195,LA CRUZ DE MAYO,SOLEDAD
CUCHILLA DE VILLATE,36,CUCHILLA DE VILLATE,SUROCCIDENTE
DON BOSCO,111,REBOLO,SURORIENTE
DUNAS,127,LAS DUNAS,SURORIENTE
EDEN 2000,157,EL EDEN 2000,SUROCCIDENTE
EL BOSQUE,118,EL BOSQUE,SUROCCIDENTE
EL CAMPITO,57,EL CAMPITO,SURORIENTE
EL CARMEN,70,EL CARMEN,SUROCCIDENTE
EL CASTILLO,169,EL CASTILLO,NORTE - CENTRO HISTORICO
EL ESFUERZO,266,EL ESFUERZO,SOLEDAD
EL FERRY,185,EL FERRY,SOLEDAD
EL GOLF,168,EL GOLF,NORTE - CENTRO HISTORICO
EL GOLFO,154,EL GOLFO,SUROCCIDENTE
EL HIPODROMO,191,EL HIPODROMO,SOLEDAD
EL KENNEDY,37,KENNEDY,METROPOLITANA
EL LIMON,134,LIMON,SURORIENTE
EL MANANTIAL,219,EL MANANTIAL,SOLEDAD
EL PARAISO,167,PARAISO,NORTE - CENTRO HISTORICO
EL PARQUE,203,EL PARQUE,SOLEDAD
EL POBLADO,51,EL POBLADO,RIOMAR
EL PORVENIR,76,EL PORVENIR,NORTE - CENTRO HISTORICO
EL PRADITO,110,EL PRADO,NORTE - CENTRO HISTORICO
EL RECREO,108,EL RECREO,NORTE - CENTRO HISTORICO
EL ROSARIO,92,EL ROSARIO,NORTE - CENTRO HISTORICO
EL SANTUARIO,78,SANTUARIO,METROPOLITANA
EL TABOR,166,EL TABOR,NORTE - CENTRO HISTORICO
EL TRIUNFO,284,EL TRIUNFO,SOLEDAD
EL TUCAN,189,EL TUCAN,SOLEDAD
EL VALLE,48,EL VALLE,SUROCCIDENTE
EVARISTO SURDIZ,103,EVARISTO SOURDIS,SUROCCIDENTE
FERROCARRIL,194,EL FERROCARRIL,SOLEDAD
GALAN,81,JOSE ANTONIO GALAN,SURORIENTE
GARDENIAS,85,LAS GARDENIAS,METROPOLITANA
GRANADILLO,23,GRANADILLO,NORTE - CENTRO HISTORICO
JOSE ANTONIO GALAN,81,JOSE ANTONIO GALAN,SURORIENTE
JUAN DOMINGUEZ ROMERO,302,JUAN DOMINGUEZ ROMERO,SOLEDAD
JUAN MINA,291,JUAN MINA,SUROCCIDENTE
LA ALBORAYA,50,LA ALBORAYA,SURORIENTE
LA ARBOLEDA,204,LA ARBOLEDA,SOLEDAD
LA AURORA,112,SIMON BOLIVAR,SURORIENTE
LA BONGA,188,SALAMANCA,SOLEDAD
LA CAMPIÑA,30,LA CAMPIÑA,NORTE - CENTRO HISTORICO
LA CANDELARIA I ETAPA,309,LA CANDELARIA I,SOLEDAD
LA CEIBA,45,LA CEIBA,SUROCCIDENTE
LA CENTRAL,252,LA CENTRAL,SOLEDAD
LA CHINITA,89,LA CHINITA,SURORIENTE
LA CONCEPCION,83,LA CONCEPCION,NORTE - CENTRO HISTORICO
LA CUMBRE,41,LA CUMBRE,NORTE - CENTRO HISTORICO
LA FARRUCA,233,LA FARRUCA,SOLEDAD
LA FE,237,LA FE,SOLEDAD
LA FLORESTA,174,LA FLORESTA,RIOMAR
LA FLORIDA,0,LA FLORIDA,SUROCCIDENTE
LA GLORIA,141,LA GLORIA,SUROCCIDENTE
LA GRANJA,59,LAS GRANJAS,METROPOLITANA
LA INMACULADA,250,LA INMACULADA,SOLEDAD
LA LIBERTAD,10,LA LIBERTAD,SUROCCIDENTE
LA LOMA,197,LA LOMA,SOLEDAD
LA LUZ,87,LA LUZ,SURORIENTE
LA MAGDALENA,69,LA MAGDALENA,SURORIENTE
LA MANGA,99,LA MANGA,SUROCCIDENTE
LA MARIA,287,LA MARIA,SOLEDAD
LA PAZ,106,LA PAZ,SUROCCIDENTE
LA PLAYA,289,LA PLAYA,RIOMAR
LA PLAYITA,289,LA PLAYA,RIOMAR
LA PRADERA,88,LA PRADERA,SUROCCIDENTE
LA SIERRA,62,LA SIERRA,METROPOLITANA
LA SIERRITA,98,LA SIERRITA,METROPOLITANA
LA UNION,80,LA UNION,SURORIENTE
LA VICTORIA,94,LA VICTORIA,SURORIENTE
LA VIOLA I,228,LA VIOLA I,SOLEDAD
LA VIOLA II,280,LA VIOLA II,SOLEDAD
LAS 3 AVE MARIAS,20,LAS TRES AVE MARIAS,RIOMAR
LAS AMERICAS,60,LAS AMERICAS,METROPOLITANA
LAS COLINAS,12,LAS COLINAS,SUROCCIDENTE
LAS COLONIAS,279,LAS COLONIAS,SOLEDAD
LAS DELICIAS,73,DELICIAS,NORTE - CENTRO HISTORICO
LAS ESMERALDA,104,LA ESMERALDA,SUROCCIDENTE
LAS ESTRELLAS,61,LAS ESTRELLAS,SUROCCIDENTE
LAS FLOREZ,180,LAS FLORES,RIOMAR
LAS GAVIOTAS,201,LAS GAVIOTAS,SOLEDAD
LAS GRANJAS,59,LAS GRANJAS,METROPOLITANA
LAS LOMAS,197,LA LOMA,SOLEDAD
LAS MALVINAS,117,LAS MALVINAS,SUROCCIDENTE
LAS MARGARITAS,187,LAS MARGARITAS,SOLEDAD
LAS MERCEDES,9,LAS MERCEDES,NORTE - CENTRO HISTORICO
LAS MORAS,313,LAS MORAS,SOLEDAD
LAS NIEVES,130,LAS NIEVES,SURORIENTE
LAS NUBES,281,LAS NUBES,SOLEDAD
LAS PALMAS,129,LAS PALMAS,SURORIENTE
LAS TERRAZA,21,LAS TERRAZAS,SUROCCIDENTE
LAS TORRES,316,LAS TORRES,SURORIENTE
LAS TRINITARIAS,207,LAS TRINITARIAS,SOLEDAD
LIMONCITO,173,EL LIMONCITO,RIOMAR
LIPAYA,55,LIPAYA,SUROCCIDENTE
LOMA FRESCA,6,LOMA FRESCA,SUROCCIDENTE
LOS ALMENDROS,217,LOS ALMENDROS,SOLEDAD
LOS ALMENDROS III,272,LOS ALMENDROS III,SOLEDAD
LOS ALPES,47,LOS ALPES,NORTE - CENTRO HISTORICO
LOS ANDES,56,LOS ANDES,SUROCCIDENTE
LOS ANGELES,84,LOS ANGELES I,SUROCCIDENTE
LOS CEDROS,213,LOS CEDROS,SOLEDAD
LOS CONTINENTES,22,CONTINENTES,METROPOLITANA
LOS CUSULES,251,LOS CUSULES,SOLEDAD
LOS GIRASOLES,13,LOS GIRASOLES,METROPOLITANA
LOS JOBOS,11,LOS JOBOS,NORTE - CENTRO HISTORICO
LOS LAURELES,125,LOS LAURELES,SURORIENTE
LOS MILAGROS,126,EL MILAGRO,SURORIENTE
LOS NOGALES,163,LOS NOGALES,NORTE - CENTRO HISTORICO
LOS OLIVOS I,58,LOS OLIVOS I,SUROCCIDENTE
LOS OLIVOS II,151,LOS OLIVOS II,SUROCCIDENTE
LOS PINOS,8,LOS PINOS,SUROCCIDENTE
LOS ROBLES,274,LOS ROBLES,SOLEDAD
LOS ROBLES II,274,LOS ROBLES,SOLEDAD
LOS ROSALES,147,LOS ROSALES,SUROCCIDENTE
LOS TRUPILLOS,107,LOS TRUPILLOS,SURORIENTE
LUCERO,149,LUCERO,SUROCCIDENTE
MANUELA BELTRAN,240,MANUELA BELTRAN,SOLEDAD
MEQUEJO,71,ME QUEJO,SUROCCIDENTE
MERCEDES SUR,29,MERCEDES SUR,SUROCCIDENTE
MILENIO,224,NUEVO MILENIO,SOLEDAD
MIRAMAR,164,MIRAMAR,NORTE - CENTRO HISTORICO
MODELO,39,MODELO,NORTE - CENTRO HISTORICO
MODERNO,144,MONTES,SURORIENTE
MONTECRISTO,72,MONTECRISTO,NORTE - CENTRO HISTORICO
MONTES,144,MONTES,SURORIENTE
NORMANDIA,212,NORMANDIA,SOLEDAD
NUEVA COLOMBIA,64,NUEVA COLOMBIA,SUROCCIDENTE
NUEVA GRANADA,28,NUEVA GRANADA,SUROCCIDENTE
NUEVO HORIZONTE,162,NUEVO HORIZONTE,NORTE - CENTRO HISTORICO
NUEVO MILENIO,224,NUEVO MILENIO,SOLEDAD
OASIS,236,EL OASIS,SOLEDAD
OLAYA,95,OLAYA HERRERA,SUROCCIDENTE
PASADENA,101,PASADENA,SURORIENTE
PINAR DEL RIO,290,PINAR DEL RIO,SUROCCIDENTE
POR FIN,74,POR FIN,SUROCCIDENTE
PRADO,110,EL PRADO,NORTE - CENTRO HISTORICO
PRIMERO DE MAYO,131,PRIMERO DE MAYO,SURORIENTE
PUEBLO,146,EL PUEBLO,SUROCCIDENTE
PUMAREJO,19,PUMAREJO,SUROCCIDENTE
REBOLO,111,REBOLO,SURORIENTE
RIOMAR,75,RIOMAR,RIOMAR
ROMANCE,136,EL ROMANCE,SUROCCIDENTE
SAN FELIPE,82,SAN FELIPE,SUROCCIDENTE
SAN FRANCISCO,46,SAN FRANCISCO,NORTE - CENTRO HISTORICO
SAN ISIDRO,100,SAN ISIDRO,SUROCCIDENTE
SAN JOSE,102,SAN JOSE,SURORIENTE
SAN LUIS,49,SAN LUIS,METROPOLITANA
SAN MARTIN,109,CARRIZAL,METROPOLITANA
SAN NICOLAS,26,SAN NICOLAS,SURORIENTE
SAN PEDRO ALEJANDRIA,135,SAN PEDRO ALEJANDRINO,SUROCCIDENTE
SAN ROQUE,145,SAN ROQUE,SURORIENTE
SAN SALVADOR,171,SAN SALVADOR,RIOMAR
SAN VICENTE,68,SAN VICENTE,RIOMAR
SANTA ANA,42,SANTA ANA,NORTE - CENTRO HISTORICO
